InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
f86b1ff6-abda-4082-825c-0511e824e9c8,One day I was driving to work.,When I stopped at the light I saw a homeless man.,He was holding up a sign and asking for money.,I rolled down my window to give him a dollar.,He thanked me for my generosity.,He spat towards me and called me cheap.,
7e89115d-3af3-4ad2-8752-39f74819c4e4,Jane was with her boyfriend at the beach.,They were eating a bag of chips.,Jane threw the bag on the ground.,The cops yelled at her for littering.,She never littered again after that.,She received a ticket and wasn't allowed to return again.,
e33cda8d-082f-4aeb-a46c-a31aa305783d,It was graduation night for John.,His parents traveled the night before to see him walk the stage.,John waited patiently for his name to be called.,The counselor of his University called name and handed him his degree.,John's parents were very proud of him.,"John received his degree with honors, his family were surprised.",
421a8921-a752-4f5d-a30a-c42ea0d6e6ca,Jeff found a puppy outside.,The temperatures were falling.,Jeff didn't want the puppy to freeze.,He kept the puppy in the house overnight.,Jeff tried to find the owner the next day.,Jeff tried to find the puppy the next day.,
40930b50-a3ff-48e1-833c-acb818a5ce07,Yesterday I went to a deli to buy a sandwich.,"On my way, I saw a homeless man sitting on the bench.",He was looking at me with one hand on his stomach.,I bought an extra sandwich and gave it to him on my way back.,The happiness on his face makes my day a great day.,He was annoyed that I hadn't gotten him any alcohol.,
e355a320-d64e-493e-811b-33cca7d06570,Morgan and her family have been living in Florida for quite some time.,they heard from the neighbor that the hurricane is on its way.,"Soon enough, they decided to evacuate to cousin Peter's house.","When they got to Peter's house, the news said it was the worst storm.","They ended up leaving Peter's house, the storm was worse there.",They felt so relieved to have evacuated at the right time.,
7c01c39f-e00a-46b3-8811-75c02b104d3e,"Terry was a popular, good-looking classmate of mine.",He was loved by all the girls.,"One day, I heard that he was shot and killed.",He was the first person I knew who had been murdered.,I couldn't eat all day from shock.,The coroner ruled Terry's death a stabbing.,
ba1faca3-f63e-4a0f-a971-4ba31d6dca37,Anna loved art.,Sometimes she went to a nearby fine art gallery to look at the art there.,Soon the manager of the gallery began to notice that she came often.,"One day, the gallery manager asked Anna if she would like a painting.",Anna said yes and the manager let her take her favorite painting home.,Anna said yes and the manager said she could work to buy one.,
503bd4fe-a2aa-4e4c-9592-c899f8758d20,Jeffrey was a great and fast runner in high school.,His coach told him he should join the upcoming miles marathon.,Jeffrey agreed to the challenge and began to train hard.,"On that day, the marathon was canceled due to severe weather.",Jeffrey was upset he didn't get to run.,Jeffrey didn't think he would have won.,
c3cea1e4-d810-4a28-be9e-6169eae68e05,Joe has been addicted to a TV show lately.,He spends all day and all night watching it.,He did not even take a shower today.,"Finally, he finishes watching all the episodes and grins at the finale.",He wishes there were more episodes.,He was disappointed and angry about the ending.,
496bb857-bf3e-419a-bfe5-5a3e17ca1508,Cara went to a food cart in Philadelphia the other day.,She stopped by an amazing falafel cart.,The food was amazing.,Cara couldn't believe how good it was.,Cara decided to eat at the food cart every week.,Cara decided to never go back there again.,
43b6bbd5-84fd-4565-acc1-336625e3ed49,Billy had a baseball game to attend.,He felt nervous on his way to the field.,He was relieved to be greeted by his team.,His team won the game.,Billy was proud of their success.,Billy kept his steroid use a secret.,
16ab75f0-1903-454a-a74c-e4e38e1311d8,My granddaughter is learning to walk.,She began by standing on her own without help.,"Then, she started walking using a toy on wheels for support.",She eventually started letting go of the toy but kept walking.,"She can only take a few steps, but soon she will be off and running.",She is the most accomplished person in our entire family.,
ed9ffc8f-fd5a-4e1d-9e2b-3285115c9e30,Bon had been writing his pen pal Luc in France for months.,Then Luke said his family would be visiting America!,Bon was so excited that he would get to meet Luc in person.,His parents agreed that Luc and his family could visit their home.,Bon and Luc had a great time in America.,"When Luc came to his house, Bon would not let him in.",
0ea04bfd-0939-47f3-ac46-a7c1f41659d9,I found a stray kitten wandering around my yard.,I took him into my house and gave him a bowl of milk.,He was very friendly and I was afraid someone might have lost him.,I put up posters around my block to see if anyone recognized him.,"I never heard from anyone, so I decided to keep him for my own.","I never heard from anyone, so I put him back in my yard.",
c814532b-df4c-46e9-9e25-bdaedb7872a6,Paul worked as order taker at a fast food drive-thru.,Customers noticed he had a really nice voice.,People suggested he should work in radio.,Paul quit his job at the fast food restaurant.,Paul got a new job as a radio DJ.,Paul decided to retire.,
fd75eb46-69d6-42a4-a1c8-a644c9bbceaa,Jen got out of school early.,She didn't have a way to get home.,Jen called her sister.,Her sister picked her up.,She carried her the whole way.,They drove home together.,
fc357096-a080-4db3-b984-e8ce0b563740,Alice sent a message to Bob.,Chuck intercepted Alice's message.,Chuck used the message to game the stock market.,"Chuck made a fortune, but Alice and Bob were bankrupted.",Chuck decided to split his money with Alice and Bob.,Alice decided to send all her stock-related messages to Bob.,
21b6d945-a629-40e1-ba9a-5226ab828a3f,George had the flu three days before a physics test.,He slept all day the days leading to the test.,He was a good student but wasn't confident taking the test.,He predictably failed the test and was very disappointed.,He had to repeat the class next semester.,The teacher understood why and let him retake it.,
62df59ca-f6a1-45e4-8de8-34d2704322a6,Francine was preparing for her first time on an airplane.,Francine has never been on an airplane before.,Francine conducted research to find out what flying was like.,Francine got several tips from the research to make her travel easier.,Francine then became more comfortable.,Francine could not find any tips to help her.,
4081dfad-bf42-4bb4-937b-46000b917e79,Barry really likes his neighbor Sara.,Sara really liked this guy that could sing.,Barry knew this and took singing lessons.,He asked Sara out in a song in front of her.,She was very impressed and said yes to him.,"She let him know she had a fiancée, it wasn't going to work out.",
867f4e36-bd3b-44a4-a827-22e87aa9b1d9,Laura liked a boy in her class.,One day she tried to ask him out.,He wasn't feeling well and had to run to the bathroom to throw up,Laura felt bad for him and comforted him when he came out.,Now they are married.,"Nine months later, Laura gave birth to their child.",
718e053d-be64-4b45-b9f4-afcd88e8ea2c,Steve was in a hurry to get to the football game.,"On the highway, Steve drove his car very fast.",The highway patrol stopped Steve's car.,The officer wrote Steve a ticket for speeding.,Steve was upset.,Steve was grateful.,
cdef4689-094f-4a0d-bc18-0ea5b93e1a91,Jessica's mom had some bad news for her.,She had developed late-stage breast cancer.,Jessica and her mom cried together as they came up with a plan.,She would get chemotherapy and radiation.,Jessica's mom beat cancer using their plan.,"In the end, Jessica's mom decided not to undergo treatment.",
6d002fd2-4385-4da8-87fe-9744e98364a1,The boy was feeling down and lonely.,He walked around the empty forest.,Suddenly he heard footsteps.,A big dog jumped on the boy.,The dog licked his face and made him laugh.,The dog sat in the room alone.,
c6051815-48df-4142-bfa0-76d78098bd11,Tim wanted to do something for his girlfriend on her birthday.,Tim planned a romantic getaway in the Bahamas.,Tim surprised her a week before her birthday.,His girlfriend was so grateful for the vacation.,Tim was aggravated by the financial burden.,Tim was happy with her reaction to the gift.,
0dee68b8-0824-4a81-b147-95a794273679,Jessica got out of work late one afternoon.,She knew she would not be able to catch her regular bus.,Jessica waited at her stop noticing all the homeless in the area.,She sat there silently.,Jessica realized she walked by them every day.,She invited them all over for a nice dinner.,
3d1e2d26-7f25-4ace-ba3b-d69ecbe1d964,Lance's mother bought him a goldfish.,"He wanted to feed his goldfish, but he couldn't reach.",He decided to get a chair to stand on.,"The chair wasn't tall enough, so he got a taller chair.",He stood on the taller chair and was able to feed his goldfish.,He overfed the fish and almost hurt it.,
1b1e85a8-80f6-4d2e-8d5d-83ae57939e85,"LeBron looked up to the late Michael, the best basketball player.","Determined to surpass Michael, LeBron practiced his drills daily.",He went directly from high school to playing professionally.,"Always practicing, he became the most dominant player in the NBA.","At the end of a storied career, he became the greatest of all time.",Michael became more popular with time and overshadowed LeBron.,
07537dd3-29cd-4ef0-b0e9-f41d56439df0,My daughter went to her first birthday party for a friend.,She was so excited leading up to the party.,She talked of nothing else for a week.,She went to the party and had a blast.,She came home wired from all the soda she drank.,When she came home she got right to work.,
c143d162-4409-43d9-b80d-caac962689fd,"One day while driving home, Marsha heard a loud pop.",She got out of her car to investigate the cause of the sound.,"Sure enough, Marsha noticed that her front tire was deflating.",Marsha realized the tire had been punctured with a rock.,Marsha began to replace her popped tire.,Marsha deflated the other tires.,
a7ff9175-e5ab-4fd7-91f8-321062afe668,My boyfriend's name is Reggie.,Reggie and I have been together for one year.,"In that one year, we have been through so much together.",We have grown to love one another through good times and bad.,I really do adore our relationship.,We fight all the time.,
fb9174ba-78d2-42fb-84f6-70edee2cd290,Jill tried to wear her favorite spring jacket that her mom gifted her before she died.,She couldn't fit with her weight gain since last spring.,Jill decided to plan an exercise routine and a healthier diet.,Running and curls did not work because she hated the activities.,Jill purchased an aerobic dance video to lose weight and succeeded.,Jill decided to buy a larger sized jacket.,
840c608f-4734-4312-8848-646136055fd8,Jessy was talking on the phone with his iPhone X.,He walked around his house with his iPhone X.,Suddenly smoke began to come out of his phone.,Jessy dropped the phone on the floor and it exploded.,Jessy was upset that his expensive iPhone X was gone.,Jessy was worried he didn't have an iPhone compatible cell phone.,
d40296b2-273d-42c3-890f-837358b6dd64,Jim had a dog.,The dog ate the same food Jim ate and his hair started to fall.,Jim consulted the veterinarian and bought allergenic food.,The dog got better and his hair grew back.,The dog ate only dog food from then on.,The dog continued to eat the same food as Jim.,
8e13b5c7-f585-46f6-9e1f-31eef27a4fb0,My friend Pat was an economics major.,"We both started at the same time, but he graduated two years early.",He went on to work at Wall Street as an investor.,"Eventually, he made millions before he turned twenty-one.",He can now retire while his friends are getting out of school.,I ended up being richer than him in one month.,
aebc320f-46aa-4971-b66e-55446d78581a,O'keefe inserted his key into the car and turned it on.,He switched gear to drive and pressed on his gas.,Suddenly the car stopped and there was a strange noise.,He opened the hood and checked what was wrong.,Then he realized his alternator was dead.,Then he decided that his tire was flat.,
c768cf27-c5a0-47c3-aa06-653dbd9f6107,"In a valley beside a river, two men hunt for bones.",A white glimmer catches Tom's eye.,He immediately recognizes the end of an enormous femur bone.,"Tom's partner, Harold, spots another bone, then another.",They realize they have found a hotbed of alien activity.,They realize they have found a hotbed of ancient dinosaur activity.,
a72cd9da-2a45-4a7a-ad3a-e6bd474a12e5,Coach Reid implemented a rigorous boot camp for preseason.,Every night the players would do a series of military exercises.,The coaches hoped this would instill discipline within the players.,"Although at the time, the players resented it, they grew as a team.",Discipline in sports is an important thing to learn.,The players learned nothing from their boot camp.,
215a4292-9b96-4f8e-8d89-6868ac81a141,Brad had just gotten his license.,He asked his parents for a car for his birthday.,They told him they would think about it.,They then went and bought him a car.,Brad was ecstatic!,Brad thought that his parents were being unfair.,
2e030766-b029-495e-8c4e-cd443c958ab9,Jim had moved in with a friend.,His friend was mistakenly eating all his snacks.,Jim was getting annoyed with his friend.,He started keeping his food in a locked box in his room.,Jim didn't have a problem with missing food again.,Jim's friend began to pick the lock to get the snacks every day.,
19fff9d4-0332-48f1-9c0e-83828cf506f9,A grandma was taking care of her grandkids for the day.,The kids seemed bored and listless.,An idea occurred to the grandma who eagerly called for the kids.,The kids reluctantly entered the kitchen to help make cookies.,Gingerbread men won the day as the kids snickered to themselves.,Gingerbread men won the day as they came to life and took over.,
475c6e1b-b233-4ac3-b659-647606ff985a,The snowstorm came into town and it was a heavy storm.,The residents watched the news and they prepared in advance.,"Suddenly, the power grid went out and the electricity was down.",The heaters were out and no lights came on.,"Fortunately, they burned the woods.","Unfortunately, they burned their clothes.",
5c6b2741-e7d8-46e8-b293-95e6f9a4cf3d,I was at home waiting for a package to be delivered.,The package was an important new piece for my computer.,"When I heard the doorbell ring, I ran to the door.","I opened the door, and there was no one there.",I checked around the door and saw the package behind a plant.,I checked around the door and saw the package on fire.,
ee8c06d8-0926-44ea-856f-d82c3b4f81dc,Henry and June were having a picnic by the river.,The river was deep and running fast with many rapids.,"Suddenly, they saw a man float by screaming for help.","Without hesitation, they ran over and June leaped into the river to grab the man.",Henry used a tree branch to haul the two to safety.,"Henry watched, laughing and eating a scotch egg.",
d5becccc-a8db-4692-9935-cea2d8ea641f,Jim had never seen snow before.,He had just moved to Indiana a couple week ago.,When he woke up and saw snow he was amazed.,He wanted to go sled on the biggest hill in town.,Jim headed to the store to buy a sled.,Jim walked to the hill without a sled.,
2eb5c3e3-e966-40af-b38c-41e0cef1f60a,Jim really liked his neighbor's lawnmower.,He asked his neighbor where he had bought it from.,Jim went to the store and was sad that model was no longer sold.,His neighbor wanted to upgrade.,He sold Jim the old model for a great price.,He would not sell Jim the lawnmower.,
b72f1789-25d6-4648-83b1-85f9a4dea0f8,Julia was watching a movie on her tablet.,She was walking with it through her house.,"Suddenly, she tripped and dropped the tablet.","When she picked it up, she realized that it was broken.","She tried to fix it but it was no use, the screen was shattered for good",She thought it looked better that way.,
7b32defc-ec7f-4510-b7f5-fda434f553db,Two boys found a raft sitting beside a creek.,They decided to board the raft and see where it took them.,As the minutes passed the creek widened and merged with a river.,They were relieved when that river was calm enough for them to wade out of.,The boys were able to make it safely back to shore.,The boys were stuck in the river for days.,
6cba4078-ef9e-4087-b9f0-a168c9eabcd3,Jimmy wanted to buy a dog.,Jimmy's apartment did not allow pets.,Jimmy still went to look at adoptable pets.,Jimmy fell in pet love with a beagle mix.,Jimmy loved the dog more than the apartment and decided to move.,Jimmy really wanted to buy that bird.,
f2dadca8-cd6e-4ba1-913c-ece617bf7c1a,Sue heard crashing roar coming from the sky.,She got up to check out the noise.,Sue looked out the door.,There were storm clouds in the sky and streaks flashing.,Sue realized she was in the midst of a thunderstorm.,Sue realized she was in the midst of a blizzard.,
4252afba-5522-4800-9de6-cabcf5d8b64b,Greg was playing ball by himself.,He was bored.,He wanted his friends.,His friends came over.,They sat on the couch and continued being bored.,They played ball for the rest of the afternoon.,
00989026-c2c3-49fb-b350-93e0ca408b11,JJ wanted to go to the fair.,JJ could not get off work early to attend.,JJ lied to her work and used one of her sick days to go.,JJ went to the fair.,JJ enjoyed the fair even though she went under false pretense.,She confessed to the act and was fired the next day.,
a6564a18-a307-4c92-94f6-38512ed877a9,A little girl named Susan loved to play outside in the meadow.,"One day, Susan discovered a brightly colored butterfly in the meadow.",Susan watched the butterfly flutter from flower to flower all day.,"When it got late, it began to storm furiously.",Susan was sad because the butterfly was blown away.,Susan decided to camp outside with the butterflies that night.,
3b6586ab-ae63-47c8-8321-e1dcf12b6802,Scott loves rock climbing.,He competes against himself.,He sets personal goals and tries to beat them.,Last week he set a personal best.,He went out to dinner with his best friend to celebrate.,He needed to try harder.,
628a7b96-5e76-4366-b53b-3b68cffc1ee6,Joe didn't like one of his coworkers.,The coworker spilled coffee on Joe's paperwork.,Joe talked to his boss.,The boss called in both men for a meeting.,"The coworker had to apologize for the spilled coffee, so did Joe.",They had to agree to get along.,
d102eb53-28ea-4af2-a147-9ab59701b0ad,Susie needed a new job.,Her boyfriend was working at the local bar.,Susie decided to ask him if he could help her get a job.,"Her boyfriend, Jim, agreed to try.","Thankfully, the boss gave her the job right away.",Jim told the boss not to hire her.,
26a34adf-dc32-4ec6-901c-276c7f5f9040,My day on Sunday this week went as expected.,My family and I attended Church from eight to eleven in the morning.,"Afterwards, we went to eat dinner at a restaurant.",The rest of my day was spent doing homework assignments.,I then went to sleep feeling happy about my life.,Then I ate a big steak.,
592d956c-cde0-4405-b075-083b84bce4b2,Joe got lonely living in his house by himself and gaming all day.,Joe's sister suggested that Joe get a pet.,Joe went to the pet adoption fair.,"At the fair, Joe played fetch with a few puppies until they had to kick him out at closing time.",Joe adopted the puppy that was best at fetch.,Joe got a new video game instead.,
c8139ab8-a810-49e6-a512-56c33d23bb9e,Chris was proud of the new refrigerator he bought.,He unloaded it from the back of his truck.,He wheeled it up to the front door.,It didn't fit!,"Next time, he would remember to get the measurements.",He had to use it outside.,
71bf3cdd-1849-4b2f-ac41-6369ada1d676,"Terry had just turned eighteen years old, and his family needed another driver in the family.",His little siblings needed transportation and his parents worked nonstop.,He was going to start college soon and could use a faster laptop.,He finally saved enough money to do the generous thing.,Terry got the car he always wanted.,Terry spent his money on a new computer.,
706388f3-72ca-4216-b089-7e50a95221b2,Matt was out for a walk with his mom.,Suddenly he saw something shiny on the ground.,He bent to pick it up.,It was a gold ring!,Matt was excited to be so lucky.,He was frustrated with the street being so littered.,
2ad9ac5b-18d5-488a-b6d9-cd5495e20d13,The bride and groom walked down the aisle.,They were finally married.,The wedding was at the country club.,"When the bride threw her bouquet, her best friend caught it.",Her best friend was elated.,Her best friend started sneezing uncontrollably holding the flowers.,
d8d4dd48-07b9-4c2f-b7f5-95d8856203a9,One day Laura was walking in the forest.,Suddenly she saw a bear.,The bear started to charge her.,She opened her eyes.,Laura realized it was just a bad dream.,"On closer inspection, the bear appeared to be a raccoon.",
e6182f4e-24eb-4e68-ace3-627e04e436f3,"Last night, I had the worst headache.",The pain literally was lasting hours.,Nothing would help the pain.,"Finally, I took Advil.",The headache went away in about twenty minutes.,The only that helped was a good night sleep.,
46280b8c-fe45-4415-9dd7-e21992134e89,Molly was my best friend for three years.,We first met in third grade.,Molly and I did everything together.,"We ate lunch, played Barbies, and swung on the swings together.",Molly moved away in sixth grade and we never saw each other again.,"Unfortunately, Molly was not a very nice person.",
ad60cce1-52ac-4903-910e-ccd528d2a020,Becky thought Steve was so cool with his clothes style and the songs he wrote.,John wanted to impress Becky too.,John decided to get a part-time job to earn extra money.,"After six weeks of working, he finally earned enough money for a piano lesson.",John is now taking lessons and is enjoying playing the piano.,John used the money to buy new clothes.,
c38375bb-1a0c-4449-9889-0277faaf8929,Bob bought a sandwich at a local shop.,He opened the sandwich at work.,The bread was moldy!,Bob called the shop.,The owner apologized and offered Bob two free meals.,The owner offered him some more of the bread.,
cf813965-cdb9-4611-9685-83d3d0b300a5,Tom and his friends went hiking.,But he only had one pair of shoes.,They got very muddy and dirty.,And he had to wear them to school the next day.,The janitor was annoyed when Tom tracked mud on the clean floor.,The janitor offered Tom a different pair of shoes to wear.,
8e0b9772-5793-457d-b901-599178af1fc7,Emilio loved to play soccer.,He was the goalie for his team.,The Championship game was coming up.,During the game the other team didn't score one goal.,Emilio's good defense skills helped his team win the game.,Emilio hated playing soccer.,
79505d49-09ab-4f2b-b979-7611cab86fa7,Joey is on a swim team.,He likes to compete in swim meets.,He would like to make the Olympic team someday.,"His coach says he could make it, if he practices",Joey practices swimming every day.,Joey hates swimming since it makes him feel cold.,
3e72c0af-12f8-4a00-9264-4cc9f45408b3,Ned was hiking in the woods when he saw a  lump of fur under a tree.,"The lump started to move, then emitted little cries.",Ned moved closer and saw that it was a bunch of tiny baby possums.,He called the local wildlife rescue and reported the baby possums.,He waited until wildlife rescue arrived to save the baby possums.,He then threw water on them.,
2e8b7d73-02b0-4da9-9498-129e0f629b7e,Ivy was scared to go to summer camp.,But she steeled herself and got on the bus.,"When she got there, she went to talk to the other campers.",Soon she had made a few new friends.,Ivy ended up loving summer camp.,Ivy regretted being at camp.,
f13c3abf-603a-4f04-9541-eb52236a712e,Blake wanted a car.,He searched all over for the best deal.,He finally settled on a Corvette at a dealership.,He bought the car and he instantly fell in love.,Blake wanted to show off his new car to everyone.,Blake put the car in the garage so it wouldn't get dusty.,
6dad940e-55e2-4aab-b2f9-453fe3ec9f8a,I am interested in going back to school to further my education.,I would love to go to a beauty college to become a stylist.,The industry is always growing and I think I could make a great investment.,I submitted a letter of intent and am awaiting admissions to attend.,"Once I am done with school, I can start doing hair.","Once I am done with school, I can start doing finance.",
ae6e8dad-1caa-4179-a992-6d325f5c45da,Jesus spent the day polishing the furniture.,As night approached he surveyed the work he'd done.,Everything looked shiny and new.,Jesus invited all of his friends over for a party that evening.,A friend of his commented on how dusty the furniture looked.,They said his furniture looked nice.,
c04c303d-1c44-4052-bdf1-5a0105494fa2,Jules and Roman met and fell in love.,Roman told Jules his parents did not approve of their love.,Jules informed Roman that her parents did not approve either.,The two devised a plan to elope against their parent's wishes.,Jules and Roman married each other at a small chapel in Nevada.,Their parents found out they shared their views and wanted to be a part of the wedding.,
dedd0173-7e50-4033-84eb-00997e214fd2,Susan took her dog out for a walk.,She heard the sounds of sirens.,Her dog broke from the leash and ran toward the noise.,Susan ran after her dog.,Susan caught her dog right before he ran into traffic and scolded it.,Susan watched in amazement as the dog dodged traffic.,
1ca02436-1ffb-442b-b52c-12d5e876356e,Felipe has always wanted to see the beautiful Pacific Northwest.,He decided to travel to Oregon one day.,"In Oregon, Felipe hiked great mountains and ate delicious food.",He was sad when his trip came to an end.,Felipe immediately started planning the next trip.,Felipe was happy when he had to leave Oregon.,
6d53c079-3aff-4a73-947e-55d2cbda8c23,Kat was watching a scary movie in the living room.,"Right in the middle of a climactic scene, the TV cut off.","Kat jumped up, afraid and looked behind the TV.",Kat saw that her cat had accidentally unplugged the TV.,Kat laughed at herself when she realized how silly her fright was.,Kat continued to be scared.,
54e216f8-b0ad-4e47-af0d-f11f86241219,Virat and Yuvi were India's hope to go to the World Cup.,Virat hit the ball and immediately hit a six.,The crowd began to cheer for the fielders.,India won the game by three wickets.,India is going to the World Cup!,The Indian team got great practice reps in.,
939f7dd1-818d-4478-be6d-4841907da4df,Gabe's mommy told him a baby sister was coming into their house soon.,Daddy took Gabe to his grandma's one day.,Grandma told Gabe that Mommy and Daddy were going to get his sister.,"Two days later, Mommy and Daddy came back with a baby.","Gabe loved his baby sister, Isabella and always tried to help with her",Gabe had so many more responsibilities with a baby in the house.,
cd557dd7-c06b-4817-bfc9-b4770eed082f,A mans wanted to get himself a new car.,He looked everywhere for information on new vehicles.,He called around to see what the prices he could get were.,He ended up deciding to get something economical.,He bought a car that got the best mileage possible.,He was mad that he was saving money.,
3553f4f5-bfd2-43a2-8253-b2fede137bf3,Bill always feels gross leaving the city touching so many public things.,He found a water tap but the water was too hot.,He mixed some cold water in order to make it normal.,When water was normal then he could clean up.,He applied soap on top of his hands.,He applied hand soap on his face.,
70909d64-76b7-4bf9-a550-6e67fc599a4a,Greg always wanted to travel to space.,He entered a contest on NASA's website to travel on the next shuttle.,The day they were going to announce the winner he was so nervous!,"Finally the moment arrived, and Greg waited patiently by the phone.",After five hours he sadly realized it was not going to happen.,He then met a secret agent who helped him travel to space.,
81bbaeff-d509-4143-9fd3-344f3e96c694,Amelia was upset because she lost her phone.,She had all her pictures saved on the phone.,Her friend said she will forward all the pictures tomorrow.,Amelia cheered up.,Amelia realized her phone was under her pillow.,Amelia didn't miss her phone.,
32291ad6-510d-4533-bff5-5a2a7a3844d0,I love making Popsicles.,I get a lot of juice and pour it into the molds.,When I take them out of the freezer they are so good.,The taste is so rich.,The popsicles are great.,Once I ate too many and got sick.,
bc70b5bc-098c-4fb1-9bc6-b2b5f3538d83,John felt sick one morning.,He decided to go to the doctor's office.,The doctor did an exam and diagnosed John with pneumonia.,The doctor wrote a prescription for John.,John picked up the medicine and went home.,John put the prescription in the trash.,
8b1b0ee0-dff8-4161-bc93-da8779f8b138,Ann was not feeling well.,Ann decided to go to the Doctor's office.,The doctor examined Ann and told Ann she had diabetes.,The doctor gave Ann advice on managing the illness.,"Ann took the advice, followed through and felt much better.",Ann ignored the advice and felt much better.,
b11d2664-5d13-4868-88ae-a1e123d96893,Ellen really loved animals so she had a desire to volunteer.,Her parents did not want time taken from schoolwork.,Ellen developed a plan to volunteer with animals and study.,"She presented the plan to her parents, but they were not impressed.",Ellen and her parents made an agreement of volunteering on weekends.,Ellen and her parents agreed she would volunteer on weekdays.,
39d8b7d1-3dc4-44de-bad8-9e44f11e1ab0,The boy wanted to join the tennis team.,Tryouts for the team were beginning soon.,The boy never played tennis before.,He went to the park and practiced every week till the day of tryouts.,The boy walked home alone.,"When tryouts began, the boy was prepared.",
022bca58-6ad8-49d3-8dd2-6ba50deabb63,Lola was a rambunctious toddler.,She loved flipping all over the couches.,Her mom decided to put her in gymnastics.,"She did so well, she became the best in her class.",She became the champion of her gymnastics school.,She learned all about how to teach gymnastics.,
cdba3b92-8e81-4ab6-b8e9-7aff1e63b11b,Our favorite family cat got outside by accident.,We had only had him for a few months.,We looked for him into the night.,"We thought he might not come back, since we lived on an isolated forty acre plot.","In the middle of the night, he was at the door meowing to come in.","In the morning, our next door neighbor brought him back.",
8483d3da-f738-4d67-ab0a-f28923c7fedd,Betty went to get her blood test done.,The blood test discovered she had tuberculosis.,The doctor told her not to worry as it is common.,The doctor prescribed her nine-month medicine course.,"Nine months later, Betty was tuberculosis free.","Nine months later, Betty was in a coma.",
27ac5680-3792-4091-b6bb-08b463adbcf0,Cirno went to the mansion next door to play.,"She rang the doorbell, then ran off to hide repeatedly.",She was very amused by her game of ding-dong-ditch.,"She was eventually caught in the act, and yelled at.",Cirno stopped her game of ding-dong-ditch realizing it was not right.,"Cirno realized it was rude, he went over to apologize.",
63c9bb9f-178e-48b7-a684-51f864332258,I remember the scariest haunted house I've ever been to.,"It was an old, rickety, uninhabited house that was made for scares.",The house was scary in itself.,"In the end, a witch jumped out!",She gave me the fright of my life.,I was crying at her comedy.,
92882b41-172d-4455-a7e3-fe5badbc1214,When Audrey was a little girl she was excited to start school.,"As the youngest, all her siblings started school before her.",On her first day of school she was so excited to meet her teacher.,When she came home she told her mom all about her new friends.,Audrey was happy with her first day of school.,Audrey didn't want to go back to school.,
7379d0c9-3529-4c8e-8c6b-109ea69b80f4,Sergey wanted to have a dog.,He went to the kennels and adopted a dog.,The dog got sick and died.,"Sergey buried the dog in his yard, and was distraught about his dog.",He never got a dog again.,He decided to adopt a new dog to honor the dead one.,
dd0d81e5-8bd3-49b9-bb70-e3ee1768a4e7,Monica's parents were visiting her from Brazil for Christmas.,Her parents never saw snow before.,Her parents hoped to see on their visit.,"On Christmas morning, their front yard was cover in snow.",Monica was very happy to see her parents happy looking at snow.,Her parents were frightened of it and refused to go outside.,
a46e8913-e0e4-43e1-a885-7a4497ca36e8,Brendan's class had a difficult math test as their final.,Brendan was very worried due to his poor math skills.,His parents hired a tutor to provide help with studying.,The tutor worked hard to supply assignments and instruction.,Brendan's skills had improved so he earned a high score on his test.,"Unfortunately, Brendan ended up failing the test.",
b4e0b844-4494-4b8a-a102-cdea714743e4,Carlos has always wanted to visit France.,He decides that he should learn to speak French before he goes.,He enrolls in a night class and studies very hard.,Finally Carlos can speak French pretty well.,Carlos makes the most of his French on his trip to Paris.,In France he doesn't speak to anyone.,
4e3912bd-0e81-46fa-a76b-88d1829c9c4b,I was in the subway after work.,Then I realized someone is dragging my clothes from the back.,Then I turned around and see a baby.,He is looking at me with a curious look.,I smile at him and he burst into laughter.,I called the police.,
96d0b6e3-1123-4ce4-b052-69612cd406b7,I asked my girlfriend to prom in a very creative way.,She said yes!,"At prom, we were named prom king and prom queen!",The last song was the first song we ever danced to.,It was a spectacular and memorable night.,"Unfortunately, I had to leave early because I got sick.",
c6a76a11-0934-4443-93bf-4002ec126f13,Jarvis and his family went bowling.,The bowling alley had many teams playing.,The family needed two lanes.,Everyone bowled good and had a nice time.,They loved bowling so much they bought the alley.,They stayed until the bowling alley closed.,
b767595a-8508-4bf5-b821-747f35752dce,Sleep is precious.,"Most nights, I only get a few hours.",Last night the kids were up six times.,I only got an hour of sleep.,I was tired all day.,I was full of energy.,
c27aa257-66f1-4a34-aa62-c44f4c87e762,Linda really wanted to start her own bookkeeping business.,She took classes through an online school.,"Once she was done with the classes, she started to network.",She refused many businessmen  who wanted to buy her business before she opened.,"After six months, Linda still didn't have any clients.",Linda ended up getting numerous clients and couldn't keep up.,
ebffadc9-9cdc-4090-8000-2d5613591c01,Laura was graduating high school.,She wanted an Audi car as her gift.,Her parents went to buy her a nice red Audi.,Laura was so happy to see her brand new car.,Laura kept thanking her parents for the new car.,Laura kept telling her parents she hated them.,
47726165-f00a-4623-ac2e-63803379304b,Ken was eating at a cafe.,He found a bug in his drink.,Ken was disgusted.,He called over the waiter.,The waiter and manager gave him his food for free.,The waiter charged him double.,
